"ELECTRONIC_ADDR_ID","ELECTRONIC_ADDR_TYPE_CODE","ELECTRONIC_ADDR_TEXT","CREATED_DT","CREATED_BY","LAST_UPDATED_DT","LAST_UPDATED_BY","DELETED_DT","DELETED_BY","ACTIVE_FLG","PARTY_ID"
"77832835372885276602","1","+33 (3) 478-82985","","","","","","","Y","31745064816837711707"
"62510277865273787646","1","+33 (3) 478-829850","","","","","","","Y","31745064816837711707"
"89680003245224256817","1","3.478.82985","","","","","","","Y","31745064816837711707"
"25717771497466845545","1","+48310543151","","","","","","","Y","19935953817744126414"
"12747635564734182836","1","+48 (31) 054-3151","","","","","","","Y","19935953817744126414"
"61801417119516692521","1","054-3151","","","","","","","Y","19935953817744126414"
"82123988361804789740","1","336-7975","","","","","","","Y","39300940535796316739"
"76634485672743256060","1","(645) 336-7975","","","","","","","Y","39300940535796316739"
"22743611521533459495","1","+1 (645) 336-7975","","","","","","","Y","39300940535796316739"
"64461421875690774243","1","468-6479","","","","","","","Y","80509458826989478798"
"39949664904393585158","1","+971474686479","","","","","","","Y","80509458826989478798"
"80674989018268344550","1","+971 (47) 468-6479","","","","","","","Y","80509458826989478798"
"68212194688977955810","1","+44 (5598) 003-714","","","","","","","Y","99466103607676043720"
"26908469328786955868","1","5598-003-714","","","","","","","Y","99466103607676043720"
"48698963649850799475","1","+39 (270) 093-8315","","","","","","","Y","66959897308405950035"
"33449044617882344953","1","+39 (270) 093-83155","","","","","","","Y","66959897308405950035"
"85300600933489919315","1","093-8315","","","","","","","Y","66959897308405950035"
"50327129294439530184","1","241-268-2278","","","","","","","Y","20292396639301097677"
"33106201088091485842","1","(241) 268-2278","","","","","","","Y","20292396639301097677"
"65499447980848635024","1","+1 (241) 268-2278","","","","","","","Y","20292396639301097677"
"43105540811592711978","1","6944-304-260","","","","","","","Y","92310971078923543214"
"90904948130107479590","1","304-260","","","","","","","Y","92310971078923543214"
"23870145356284135570","1","+44 (6944) 304-260","","","","","","","Y","92310971078923543214"
"10610447523550508358","1","733-644-6463","","","","","","","Y","28017154188256184678"
